| ion |      wave | NIST | Instr | amplitude |       Source |
| HgI | 10723.467 |    1 |   449 |   39280.0 | Hg_lines.dat |
| ArI | 10723.467 |    1 |   303 |   39280.0 | Ar_lines.dat |
| KrI | 10732.370 |    1 |   185 |   27380.0 | Kr_lines.dat |
| HgI | 10736.810 |    1 |   450 |   31670.0 | Hg_lines.dat |
| ArI | 10736.810 |    1 |   304 |   31670.0 | Ar_lines.dat |
| XeI | 10761.810 |    1 |   184 |   34020.0 | Xe_lines.dat |
| HgI | 10762.110 |    1 |   451 |   45310.0 | Hg_lines.dat |
| ArI | 10762.110 |    1 |   305 |   45310.0 | Ar_lines.dat |
| HgI | 10767.330 |    1 |   452 |   47770.0 | Hg_lines.dat |
| ArI | 10767.330 |    1 |   306 |   47770.0 | Ar_lines.dat |
| HgI | 10788.090 |    1 |   453 |   28000.0 | Hg_lines.dat |
| ArI | 10788.090 |    1 |   307 |   28000.0 | Ar_lines.dat |
| KrI | 10804.300 |    1 |   186 |   21380.0 | Kr_lines.dat |
| ArI | 10815.859 |    1 |   308 |   36110.0 | Ar_lines.dat |
| HgI | 10815.859 |    1 |   454 |   36110.0 | Hg_lines.dat |
| ArI | 10819.453 |    1 |   309 |   39220.0 | Ar_lines.dat |
| HgI | 10819.453 |    1 |   455 |   39220.0 | Hg_lines.dat |
| ArI | 10820.846 |    1 |   310 |   45740.0 | Ar_lines.dat |
| HgI | 10820.846 |    1 |   456 |   45740.0 | Hg_lines.dat |
| HgI | 10832.425 |    1 |   457 |   26660.0 | Hg_lines.dat |
| ArI | 10832.425 |    1 |   311 |   26660.0 | Ar_lines.dat |
| XeI | 10841.310 |    1 |   185 |  360800.0 | Xe_lines.dat |
| HgI | 10843.009 |    1 |   458 |   20560.0 | Hg_lines.dat |
| ArI | 10843.009 |    1 |   312 |   20560.0 | Ar_lines.dat |
| ArI | 10870.322 |    1 |   313 |   24970.0 | Ar_lines.dat |
| HgI | 10870.322 |    1 |   459 |   24970.0 | Hg_lines.dat |
| ArI | 10870.862 |    1 |   314 |   24970.0 | Ar_lines.dat |
| HgI | 10870.862 |    1 |   460 |   24970.0 | Hg_lines.dat |
| ArI | 10872.688 |    1 |   315 |   36430.0 | Ar_lines.dat |
| HgI | 10872.688 |    1 |   461 |   36430.0 | Hg_lines.dat |
| KrI | 10877.880 |    1 |   187 |   38380.0 | Kr_lines.dat |
| XeI | 10898.308 |    1 |   186 |   19400.0 | Xe_lines.dat |
| HgI | 10900.925 |    1 |   462 |   29960.0 | Hg_lines.dat |
| ArI | 10900.925 |    1 |   316 |   29960.0 | Ar_lines.dat |
| HgI | 10916.780 |    1 |   463 |   12780.0 | Hg_lines.dat |
| ArI | 10916.780 |    1 |   317 |   12780.0 | Ar_lines.dat |
| XeI | 10917.300 |    1 |   187 |    9021.0 | Xe_lines.dat |
| HgI | 10919.660 |    1 |   464 |   11280.0 | Hg_lines.dat |
| ArI | 10919.660 |    1 |   318 |   11280.0 | Ar_lines.dat |
| HgI | 10926.436 |    1 |   465 |   16390.0 | Hg_lines.dat |
| ArI | 10926.436 |    1 |   319 |   16390.0 | Ar_lines.dat |
| ArI | 10934.724 |    1 |   320 |   13030.0 | Ar_lines.dat |
| HgI | 10934.724 |    1 |   466 |   13030.0 | Hg_lines.dat |
| HgI | 10957.287 |    1 |   467 |   21990.0 | Hg_lines.dat |
| ArI | 10957.287 |    1 |   321 |   21990.0 | Ar_lines.dat |
| ArI | 10976.807 |    1 |   322 |   33410.0 | Ar_lines.dat |
| HgI | 10976.807 |    1 |   468 |   33410.0 | Hg_lines.dat |
| HgI | 10977.340 |    1 |   469 |   37100.0 | Hg_lines.dat |
| ArI | 10977.340 |    1 |   323 |   37100.0 | Ar_lines.dat |
| ArI | 10985.391 |    1 |   324 |   27800.0 | Ar_lines.dat |
| HgI | 10985.391 |    1 |   470 |   27800.0 | Hg_lines.dat |
| HgI | 11029.061 |    1 |   472 |   48780.0 | Hg_lines.dat |
| ArI | 11029.061 |    1 |   325 |   48780.0 | Ar_lines.dat |
| HgI | 11029.543 |    1 |   473 |   48780.0 | Hg_lines.dat |
| ArI | 11029.543 |    1 |   326 |   48780.0 | Ar_lines.dat |
| HgI | 11034.365 |    1 |   474 |   39300.0 | Hg_lines.dat |
| ArI | 11034.365 |    1 |   327 |   39300.0 | Ar_lines.dat |
| HgI | 11070.975 |    1 |   476 |   34330.0 | Hg_lines.dat |
| ArI | 11070.975 |    1 |   328 |   34330.0 | Ar_lines.dat |
| ArI | 11071.487 |    1 |   329 |   37420.0 | Ar_lines.dat |
